[["???", "ינשוף! אתה חייב לעזור לי! רעידת האדמה הפחידה את כל הגחליליות ועכשיו הלך להן חוש הכיוון!"],
 ["ינשוף", "* צווחה של ינשוף *"],
 ["חגית", "אה, מצטערת שהפחדתי אותך, אני חגית, גחלילית בלתי נראית! אני יודעת לעוף מאוד יפה אתה יודע. חבל שאף אחד לא יכול לראות אותי.."],
 ["חגית", "בכל מקרה. הגחליליות! אני חושבת שאם תצליח למצוא את ארבע הגחליליות הגדולות, האור שלהן יוביל את כל השאר לבית שלנו בתוך העץ הגדול."],
 ["ינשוף", "הא.."],
["ינשוף", "איך זה שאת לא איבדת את חוש הכיוון?"],
["חגית", "אזזז יש סיכוי שיצאתי לסבב הופעות ספוקן וורד ביער וסנאים שמו אותי בכלוב כי הצקתי להם"],
["קריין", "למעשה חגית לא יצאה לסבב הופעות, אלא גורשה מכפר הגחליליות זמנית, לאחר שהציקה להם."],
["קריין", "עם ספוקן וורד."],
["חגית", "שמעתי את רעידת האדמה מרחוק וישר באתי לעזור. טוב, יאללה, לעבודה"],
["ינשוף", "..."],
["חגית", "עוד משהו?"],
["ינשוף", "למה את בלתי נראית? למה את מדברת?"],
["חגית", "השאלה היא לא למה אני מדברת, אלא למה אני *כן* מדברת ;)"],
["ינשוף", "לא הבנתי"],
["חגית", "אתה לא תבין.."],
["ינשוף", "כן אני באמת לא-"],
["חגית", "* צקצוק * אתה לא תבין..."] ,
["_end"]]
